case_id,category,category_label,openai_first_pass_status,openai_final_status,openai_retry_used,openai_output_image,reve_first_pass_status,reve_final_status,reve_retry_used,reve_output_image
ivan-C1,ivan_day,Ivan daylight,completed,completed,false,tmp/model-compare-gpt2-vs-reve11/openai-results/outputs/ivan-C1__openai-gpt-image-2.png,completed,completed,false,tmp/model-compare-gpt2-vs-reve11/reve-results/outputs/ivan-C1__reve-direct-masked.png
ivan-C2,ivan_day,Ivan daylight,completed,completed,false,tmp/model-compare-gpt2-vs-reve11/openai-results/outputs/ivan-C2__openai-gpt-image-2.png,completed,completed,false,tmp/model-compare-gpt2-vs-reve11/reve-results/outputs/ivan-C2__reve-direct-masked.png
ivan-C3,ivan_day,Ivan daylight,completed,completed,false,tmp/model-compare-gpt2-vs-reve11/openai-results/outputs/ivan-C3__openai-gpt-image-2.png,completed,completed,false,tmp/model-compare-gpt2-vs-reve11/reve-results/outputs/ivan-C3__reve-direct-masked.png
ivan-C4,ivan_day,Ivan daylight,completed,completed,false,tmp/model-compare-gpt2-vs-reve11/openai-results/outputs/ivan-C4__openai-gpt-image-2.png,completed,completed,false,tmp/model-compare-gpt2-vs-reve11/reve-results/outputs/ivan-C4__reve-direct-masked.png
ivan-C5,ivan_day,Ivan daylight,completed,completed,false,tmp/model-compare-gpt2-vs-reve11/openai-results/outputs/ivan-C5__openai-gpt-image-2.png,completed,completed,false,tmp/model-compare-gpt2-vs-reve11/reve-results/outputs/ivan-C5__reve-direct-masked.png
ivan-N1,ivan_night,Ivan night,completed,completed,false,tmp/model-compare-gpt2-vs-reve11/openai-results/outputs/ivan-N1__openai-gpt-image-2.png,completed,completed,false,tmp/model-compare-gpt2-vs-reve11/reve-results/outputs/ivan-N1__reve-direct-masked.png
ivan-N2,ivan_night,Ivan night,completed,completed,false,tmp/model-compare-gpt2-vs-reve11/openai-results/outputs/ivan-N2__openai-gpt-image-2.png,completed,completed,false,tmp/model-compare-gpt2-vs-reve11/reve-results/outputs/ivan-N2__reve-direct-masked.png
ivan-N3,ivan_night,Ivan night,failed,completed,true,tmp/model-compare-gpt2-vs-reve11/openai-retry-results/outputs/ivan-N3__openai-gpt-image-2.png,completed,completed,false,tmp/model-compare-gpt2-vs-reve11/reve-results/outputs/ivan-N3__reve-direct-masked.png
ivan-N4,ivan_night,Ivan night,completed,completed,false,tmp/model-compare-gpt2-vs-reve11/openai-results/outputs/ivan-N4__openai-gpt-image-2.png,completed,completed,false,tmp/model-compare-gpt2-vs-reve11/reve-results/outputs/ivan-N4__reve-direct-masked.png
rain-flood-bmw,rain_stress,Rain stress,completed,completed,false,tmp/model-compare-gpt2-vs-reve11/openai-results/outputs/rain-flood-bmw__openai-gpt-image-2.png,completed,completed,false,tmp/model-compare-gpt2-vs-reve11/reve-results/outputs/rain-flood-bmw__reve-direct-masked.png
night-heavy-rain-sedan,rain_stress,Rain stress,completed,completed,false,tmp/model-compare-gpt2-vs-reve11/openai-results/outputs/night-heavy-rain-sedan__openai-gpt-image-2.png,completed,completed,false,tmp/model-compare-gpt2-vs-reve11/reve-results/outputs/night-heavy-rain-sedan__reve-direct-masked.png
istock-rain-splash,rain_stress,Rain stress,completed,completed,false,tmp/model-compare-gpt2-vs-reve11/openai-results/outputs/istock-rain-splash__openai-gpt-image-2.png,completed,completed,false,tmp/model-compare-gpt2-vs-reve11/reve-results/outputs/istock-rain-splash__reve-direct-masked.png
wheel-labeling-004,wheel_labeling,Wheel-labeling stress,completed,completed,false,tmp/model-compare-gpt2-vs-reve11/openai-results/outputs/wheel-labeling-004__openai-gpt-image-2.png,completed,completed,false,tmp/model-compare-gpt2-vs-reve11/reve-results/outputs/wheel-labeling-004__reve-direct-masked.png
wheel-labeling-011,wheel_labeling,Wheel-labeling stress,completed,completed,false,tmp/model-compare-gpt2-vs-reve11/openai-results/outputs/wheel-labeling-011__openai-gpt-image-2.png,completed,completed,false,tmp/model-compare-gpt2-vs-reve11/reve-results/outputs/wheel-labeling-011__reve-direct-masked.png
